1957 | USSR | 1 | 2
1958 | USA | 1 | 5
1958 | USSR | 2 | 1
1960 | USA | 1 | 16
1960 | USSR | 2 | 3
1965 | USA | 1 | 63
1965 | USSR | 2 | 51
1965 | France | 3 | 1
1970 | USSR | 1 | 87
1970 | USA | 2 | 24
1970 | Japan | 3 | 1
1970 | China | 4 | 1
1975 | USSR | 1 | 93
1975 | USA | 2 | 27
1975 | France | 3 | 2
1979 | USSR | 1 | 87
1979 | USA | 2 | 16
1979 | Europe | 3 | 1
1980 | USSR | 1 | 90
1980 | USA | 2 | 13
1980 | Japan | 3 | 2
1980 | India | 4 | 1
1985 | USSR | 1 | 100
1985 | USA | 2 | 17
1985 | Europe | 3 | 3
1990 | USSR | 1 | 79
1990 | USA | 2 | 26
1990 | Europe | 3 | 5
1995 | Russia | 1 | 33
1995 | USA | 2 | 27
1995 | Europe | 3 | 11
2000 | Russia | 1 | 39
2000 | USA | 2 | 28
2000 | Europe | 3 | 12
2005 | Russia | 1 | 26
2005 | USA | 2 | 12
2005 | Japan | 3 | 2
2010 | Russia | 1 | 31
2010 | China | 2 | 15
2010 | USA | 3 | 15
2015 | Russia | 1 | 26
2015 | USA | 2 | 20
2015 | China | 3 | 19
2015 | India | 4 | 5
2020 | USA | 1 | 40
2020 | China | 2 | 35
2020 | Russia | 3 | 15
2024 | USA | 1 | 154
2024 | China | 2 | 68
2024 | Russia | 3 | 15
2024 | India | 4 | 7
2024 | Japan | 5 | 6
2025 | USA | 1 | 179
2025 | China | 2 | 91
2025 | Russia | 3 | 15
2026 | USA | 1 | 50
2026 | China | 2 | 16
2026 | Russia | 3 | 5
2026 | Europe | 4 | 1
2026 | India | 5 | 1
2026 | Japan | 6 | 1
