1957 | USA | 1 | 0
1957 | USSR | 2 | 2
1957 | China | 3 | 0
1957 | United Kingdom | 4 | 0
1957 | Japan | 5 | 0
1957 | France | 6 | 0
1957 | India | 7 | 0
1957 | Germany | 8 | 0
1957 | Canada | 9 | 0
1957 | South Korea | 10 | 0
1958 | USA | 1 | 5
1958 | USSR | 2 | 3
1958 | China | 3 | 0
1958 | United Kingdom | 4 | 0
1958 | Japan | 5 | 0
1958 | France | 6 | 0
1958 | India | 7 | 0
1958 | Germany | 8 | 0
1958 | Canada | 9 | 0
1958 | South Korea | 10 | 0
1959 | USA | 1 | 10
1959 | USSR | 2 | 5
1959 | China | 3 | 0
1959 | United Kingdom | 4 | 0
1959 | Japan | 5 | 0
1959 | France | 6 | 0
1959 | India | 7 | 0
1959 | Germany | 8 | 0
1959 | Canada | 9 | 0
1959 | South Korea | 10 | 0
1960 | USA | 1 | 16
1960 | USSR | 2 | 7
1960 | China | 3 | 0
1960 | United Kingdom | 4 | 0
1960 | Japan | 5 | 0
1960 | France | 6 | 0
1960 | India | 7 | 0
1960 | Germany | 8 | 0
1960 | Canada | 9 | 0
1960 | South Korea | 10 | 0
1961 | USA | 1 | 25
1961 | USSR | 2 | 12
1961 | China | 3 | 0
1961 | United Kingdom | 4 | 0
1961 | Japan | 5 | 0
1961 | France | 6 | 0
1961 | India | 7 | 0
1961 | Germany | 8 | 0
1961 | Canada | 9 | 0
1961 | South Korea | 10 | 0
1962 | USA | 1 | 38
1962 | USSR | 2 | 20
1962 | China | 3 | 0
1962 | United Kingdom | 4 | 0
1962 | Japan | 5 | 0
1962 | France | 6 | 0
1962 | India | 7 | 0
1962 | Germany | 8 | 0
1962 | Canada | 9 | 0
1962 | South Korea | 10 | 0
1963 | USA | 1 | 50
1963 | USSR | 2 | 28
1963 | China | 3 | 0
1963 | United Kingdom | 4 | 0
1963 | Japan | 5 | 0
1963 | France | 6 | 0
1963 | India | 7 | 0
1963 | Germany | 8 | 0
1963 | Canada | 9 | 0
1963 | South Korea | 10 | 0
1964 | USA | 1 | 60
1964 | USSR | 2 | 35
1964 | China | 3 | 0
1964 | United Kingdom | 4 | 0
1964 | Japan | 5 | 0
1964 | France | 6 | 0
1964 | India | 7 | 0
1964 | Germany | 8 | 0
1964 | Canada | 9 | 0
1964 | South Korea | 10 | 0
1965 | USA | 1 | 70
1965 | USSR | 2 | 65
1965 | France | 3 | 1
1965 | China | 4 | 0
1965 | United Kingdom | 5 | 0
1965 | Japan | 6 | 0
1965 | India | 7 | 0
1965 | Germany | 8 | 0
1965 | Canada | 9 | 0
1965 | South Korea | 10 | 0
1966 | USA | 1 | 85
1966 | USSR | 2 | 75
1966 | France | 3 | 2
1966 | China | 4 | 0
1966 | United Kingdom | 5 | 0
1966 | Japan | 6 | 0
1966 | India | 7 | 0
1966 | Germany | 8 | 0
1966 | Canada | 9 | 0
1966 | South Korea | 10 | 0
1967 | USA | 1 | 95
1967 | USSR | 2 | 85
1967 | France | 3 | 3
1967 | China | 4 | 0
1967 | United Kingdom | 5 | 0
1967 | Japan | 6 | 0
1967 | India | 7 | 0
1967 | Germany | 8 | 0
1967 | Canada | 9 | 0
1967 | South Korea | 10 | 0
1968 | USA | 1 | 110
1968 | USSR | 2 | 95
1968 | France | 3 | 4
1968 | China | 4 | 0
1968 | United Kingdom | 5 | 0
1968 | Japan | 6 | 0
1968 | India | 7 | 0
1968 | Germany | 8 | 0
1968 | Canada | 9 | 0
1968 | South Korea | 10 | 0
1969 | USA | 1 | 130
1969 | USSR | 2 | 105
1969 | France | 3 | 5
1969 | China | 4 | 0
1969 | United Kingdom | 5 | 0
1969 | Japan | 6 | 0
1969 | India | 7 | 0
1969 | Germany | 8 | 0
1969 | Canada | 9 | 0
1969 | South Korea | 10 | 0
1970 | USSR | 1 | 85
1970 | USA | 2 | 30
1970 | Japan | 3 | 1
1970 | China | 4 | 1
1970 | France | 5 | 6
1970 | United Kingdom | 6 | 0
1970 | India | 7 | 0
1970 | Germany | 8 | 0
1970 | Canada | 9 | 0
1970 | South Korea | 10 | 0
1971 | USSR | 1 | 95
1971 | USA | 2 | 40
1971 | Japan | 3 | 2
1971 | China | 4 | 2
1971 | France | 5 | 7
1971 | United Kingdom | 6 | 0
1971 | India | 7 | 0
1971 | Germany | 8 | 0
1971 | Canada | 9 | 0
1971 | South Korea | 10 | 0
1972 | USSR | 1 | 105
1972 | USA | 2 | 50
1972 | Japan | 3 | 3
1972 | China | 4 | 3
1972 | France | 5 | 8
1972 | United Kingdom | 6 | 1
1972 | India | 7 | 0
1972 | Germany | 8 | 0
1972 | Canada | 9 | 0
1972 | South Korea | 10 | 0
1973 | USSR | 1 | 115
1973 | USA | 2 | 60
1973 | Japan | 3 | 4
1973 | China | 4 | 4
1973 | France | 5 | 9
1973 | United Kingdom | 6 | 2
1973 | India | 7 | 0
1973 | Germany | 8 | 0
1973 | Canada | 9 | 0
1973 | South Korea | 10 | 0
1974 | USSR | 1 | 125
1974 | USA | 2 | 70
1974 | Japan | 3 | 5
1974 | China | 4 | 5
1974 | France | 5 | 10
1974 | United Kingdom | 6 | 3
1974 | India | 7 | 0
1974 | Germany | 8 | 0
1974 | Canada | 9 | 0
1974 | South Korea | 10 | 0
1975 | USSR | 1 | 90
1975 | USA | 2 | 35
1975 | France | 3 | 2
1975 | India | 4 | 1
1975 | China | 5 | 6
1975 | Japan | 6 | 6
1975 | United Kingdom | 7 | 4
1975 | Germany | 8 | 0
1975 | Canada | 9 | 0
1975 | South Korea | 10 | 0
1976 | USSR | 1 | 92
1976 | USA | 2 | 38
1976 | France | 3 | 3
1976 | India | 4 | 1
1976 | China | 5 | 7
1976 | Japan | 6 | 7
1976 | United Kingdom | 7 | 5
1976 | Germany | 8 | 0
1976 | Canada | 9 | 0
1976 | South Korea | 10 | 0
1977 | USSR | 1 | 94
1977 | USA | 2 | 40
1977 | France | 3 | 4
1977 | India | 4 | 1
1977 | China | 5 | 8
1977 | Japan | 6 | 8
1977 | United Kingdom | 7 | 6
1977 | Germany | 8 | 0
1977 | Canada | 9 | 0
1977 | South Korea | 10 | 0
1978 | USSR | 1 | 96
1978 | USA | 2 | 42
1978 | France | 3 | 4
1978 | India | 4 | 1
1978 | China | 5 | 8
1978 | Japan | 6 | 9
1978 | United Kingdom | 7 | 7
1978 | Germany | 8 | 0
1978 | Canada | 9 | 0
1978 | South Korea | 10 | 0
1979 | USSR | 1 | 98
1979 | USA | 2 | 43
1979 | France | 3 | 5
1979 | India | 4 | 1
1979 | China | 5 | 9
1979 | Japan | 6 | 10
1979 | United Kingdom | 7 | 8
1979 | Germany | 8 | 0
1979 | Canada | 9 | 0
1979 | South Korea | 10 | 0
1980 | USSR | 1 | 95
1980 | USA | 2 | 25
1980 | Japan | 3 | 2
1980 | India | 4 | 1
1980 | France | 5 | 1
1980 | United Kingdom | 6 | 0
1980 | China | 7 | 0
1980 | Germany | 8 | 0
1980 | Canada | 9 | 0
1980 | South Korea | 10 | 0
1981 | USSR | 1 | 96
1981 | USA | 2 | 28
1981 | Japan | 3 | 2
1981 | India | 4 | 1
1981 | France | 5 | 2
1981 | United Kingdom | 6 | 0
1981 | China | 7 | 0
1981 | Germany | 8 | 0
1981 | Canada | 9 | 0
1981 | South Korea | 10 | 0
1982 | USSR | 1 | 97
1982 | USA | 2 | 32
1982 | Japan | 3 | 2
1982 | India | 4 | 1
1982 | France | 5 | 3
1982 | United Kingdom | 6 | 0
1982 | China | 7 | 0
1982 | Germany | 8 | 0
1982 | Canada | 9 | 0
1982 | South Korea | 10 | 0
1983 | USSR | 1 | 98
1983 | USA | 2 | 36
1983 | Japan | 3 | 2
1983 | India | 4 | 1
1983 | France | 5 | 4
1983 | United Kingdom | 6 | 1
1983 | China | 7 | 0
1983 | Germany | 8 | 0
1983 | Canada | 9 | 0
1983 | South Korea | 10 | 0
1984 | USSR | 1 | 99
1984 | USA | 2 | 40
1984 | Japan | 3 | 2
1984 | India | 4 | 1
1984 | France | 5 | 4
1984 | United Kingdom | 6 | 1
1984 | China | 7 | 0
1984 | Germany | 8 | 0
1984 | Canada | 9 | 0
1984 | South Korea | 10 | 0
1985 | USSR | 1 | 100
1985 | USA | 2 | 45
1985 | France | 3 | 5
1985 | Japan | 4 | 2
1985 | United Kingdom | 5 | 1
1985 | China | 6 | 0
1985 | India | 7 | 0
1985 | Germany | 8 | 0
1985 | Canada | 9 | 0
1985 | South Korea | 10 | 0
1986 | USSR | 1 | 102
1986 | USA | 2 | 47
1986 | France | 3 | 6
1986 | Japan | 4 | 2
1986 | United Kingdom | 5 | 1
1986 | China | 6 | 0
1986 | India | 7 | 0
1986 | Germany | 8 | 0
1986 | Canada | 9 | 0
1986 | South Korea | 10 | 0
1987 | USSR | 1 | 104
1987 | USA | 2 | 48
1987 | France | 3 | 6
1987 | Japan | 4 | 2
1987 | United Kingdom | 5 | 1
1987 | China | 6 | 0
1987 | India | 7 | 0
1987 | Germany | 8 | 0
1987 | Canada | 9 | 0
1987 | South Korea | 10 | 0
1988 | USSR | 1 | 106
1988 | USA | 2 | 49
1988 | France | 3 | 7
1988 | Japan | 4 | 3
1988 | United Kingdom | 5 | 2
1988 | China | 6 | 1
1988 | India | 7 | 0
1988 | Germany | 8 | 0
1988 | Canada | 9 | 0
1988 | South Korea | 10 | 0
1989 | USSR | 1 | 108
1989 | USA | 2 | 49
1989 | France | 3 | 7
1989 | Japan | 4 | 3
1989 | United Kingdom | 5 | 2
1989 | China | 6 | 3
1989 | India | 7 | 0
1989 | Germany | 8 | 0
1989 | Canada | 9 | 0
1989 | South Korea | 10 | 0
1990 | USSR | 1 | 80
1990 | USA | 2 | 50
1990 | China | 3 | 5
1990 | Japan | 4 | 3
1990 | France | 5 | 3
1990 | United Kingdom | 6 | 2
1990 | India | 7 | 1
1990 | Germany | 8 | 1
1990 | Canada | 9 | 1
1990 | South Korea | 10 | 0
1991 | USSR | 1 | 78
1991 | USA | 2 | 52
1991 | China | 3 | 5
1991 | Japan | 4 | 3
1991 | France | 5 | 4
1991 | United Kingdom | 6 | 2
